"country_iso"	"desktop_rank"	"mobile_rank"
"AD"	56	55
"AE"	141	152
"AF"	84	79
"AG"	43	35
"AL"	122	115
"AM"	138	100
"AO"	111	148
"AR"	168	171
"AT"	167	157
"AU"	183	181
"AW"	35	63
"AZ"	137	146
"BA"	118	104
"BB"	58	58
"BD"	152	144
"BE"	171	161
"BF"	36	18
"BG"	144	133
"BH"	90	116
"BI"	25	6
"BJ"	67	53
"BM"	32	29
"BN"	51	68
"BO"	95	118
"BR"	184	185
"BS"	60	70
"BT"	38	18
"BW"	53	35
"BY"	135	131
"BZ"	44	49
"CA"	188	186
"CD"	62	55
"CF"	9	1
"CG"	18	18
"CH"	172	158
"CI"	85	68
"CL"	153	166
"CM"	82	63
"CN"	177	163
"CO"	158	172
"CR"	115	130
"CU"	77	18
"CV"	33	6
"CW"	38	44
"CY"	99	86
"CZ"	169	151
"DE"	192	188
"DJ"	52	35
"DK"	159	159
"DM"	24	6
"DO"	120	132
"DZ"	132	123
"EC"	130	129
"EE"	133	109
"EG"	151	153
"ER"	1	1
"ES"	185	184
"ET"	74	58
"FI"	165	173
"FJ"	50	40
"FO"	38	49
"FR"	190	190
"GA"	33	58
"GB"	193	193
"GD"	20	40
"GE"	116	99
"GH"	105	109
"GL"	25	6
"GM"	14	6
"GN"	29	35
"GQ"	17	1
"GR"	157	141
"GT"	110	120
"GW"	6	18
"GY"	36	49
"HK"	163	174
"HN"	92	112
"HR"	134	127
"HU"	162	138
"ID"	173	175
"IE"	150	164
"IL"	174	176
"IN"	191	192
"IR"	176	170
"IS"	106	82
"IT"	187	191
"JM"	73	89
"JO"	119	137
"JP"	189	189
"KE"	116	95
"KG"	83	87
"KH"	101	77
"KI"	1	1
"KM"	9	6
"KN"	9	18
"KR"	170	180
"KW"	114	143
"KY"	48	44
"KZ"	128	135
"LA"	57	47
"LB"	113	136
"LC"	29	40
"LI"	44	35
"LK"	125	106
"LR"	25	30
"LS"	20	18
"LT"	127	102
"LU"	103	93
"LV"	121	102
"LY"	71	87
"MA"	149	167
"MC"	58	53
"MD"	107	91
"ME"	76	81
"MG"	86	85
"MK"	112	77
"ML"	44	40
"MM"	91	125
"MN"	108	71
"MO"	87	82
"MR"	53	58
"MT"	96	79
"MU"	71	74
"MV"	64	65
"MW"	42	47
"MX"	179	181
"MY"	147	156
"MZ"	65	66
"NC"	53	30
"NE"	29	18
"NG"	126	126
"NI"	80	96
"NL"	181	178
"NO"	166	162
"NP"	131	147
"NZ"	145	139
"OM"	88	114
"PA"	100	119
"PE"	139	142
"PF"	41	44
"PG"	14	30
"PH"	161	169
"PK"	164	165
"PL"	182	168
"PR"	104	124
"PS"	89	93
"PT"	143	134
"PW"	1	6
"PY"	93	113
"QA"	109	120
"RO"	154	149
"RS"	146	128
"RU"	186	187
"RW"	68	49
"SA"	156	179
"SB"	1	1
"SC"	20	18
"SD"	81	98
"SE"	178	177
"SG"	148	155
"SI"	136	107
"SK"	129	117
"SM"	28	30
"SN"	69	73
"SO"	65	55
"SR"	48	66
"SS"	18	6
"ST"	1	6
"SV"	98	100
"SY"	70	111
"SZ"	6	6
"TG"	44	30
"TH"	160	154
"TJ"	61	92
"TL"	13	18
"TM"	20	58
"TN"	123	108
"TO"	8	6
"TR"	180	183
"TT"	79	82
"TZ"	93	89
"UA"	175	160
"UG"	102	74
"US"	194	194
"UY"	124	122
"UZ"	74	97
"VC"	14	6
"VE"	140	139
"VN"	155	150
"VU"	9	18
"YE"	97	105
"ZA"	142	145
"ZM"	63	71
"ZW"	78	74
